PDFIndex,10DigitBBl,StreetNumber,StreetName,DOFGrossSquareFootage,EnergyStar1-100Score,EnergyEfficiencyGrade
0,3017620041,192,SPENCER STREET,47126,95,A
1,1007017501,529,WEST 29 STREET,107530,90,A
2,3021077502,280,ASHLAND PLACE,133472,100,A
3,1000130001,1,BROADWAY,180646,97,A
4,1000130005,11,BROADWAY,434220,92,A
5,1000167515,225,RECTOR PLACE,287819,86,A
6,1000200001,29,BROADWAY,316150,85,A
7,1000200004,39,BROADWAY,447452,86,A
8,1000220013,26,BROADWAY,860889,88,A
9,1000220024,50,BROADWAY,300676,89,A
10,1000230050,20,BROAD STREET,466820,94,A
11,1000240029,30,BROAD STREET,370000,91,A
12,1000250027,40,EXCHANGE PLACE,239071,91,A
13,1000277502,20,EXCHANGE PLACE,786942,87,A
14,1000280012,76,BEAVER STREET,95325,96,A
15,1000350010,111,WALL STREET,990250,99,A
16,1000400003,60,WALL STREET,1617206,87,A
17,1000430002,40,WALL STREET,1061286,86,A
18,1000447501,18,PINE STREET,583639,85,A
19,1000480001,140,BROADWAY,1141276,87,A
20,1000510001,101,GREENWICH STREET,400294,96,A
21,1000510013,86,TRINITY PLACE,181725,100,A
22,1000530038,100,GREENWICH STREET,70918,95,A
23,1000560001,140,WASHINGTON STREET,181297,92,A
24,1000640012,150,BROADWAY,279669,85,A
25,1000640015,160,BROADWAY,150000,85,A
26,1000650007,15,MAIDEN LANE,124910,88,A
27,1000680011,75,MAIDEN LANE,155026,85,A
28,1000680016,84,WILLIAM STREET,122959,95,A
29,1000690032,116,JOHN STREET,338463,89,A
30,1000700032,180,WATER STREET,487950,96,A
31,1000717501,175,WATER STREET,580000,86,A
32,1000720027,85,SOUTH STREET,52005,100,A
33,1000750030,111,JOHN STREET,296076,89,A
34,1000780001,135,WILLIAM STREET,76988,96,A
35,1000780004,123,WILLIAM STREET,493039,87,A
36,1000787508,45,JOHN STREET,81199,91,A
37,1000790010,17,JOHN STREET,111423,94,A
38,1000800004,55,CHURCH STREET,383166,87,A
39,1000880010,30,VESEY STREET,71959,90,A
40,1000880018,225,BROADWAY,480831,88,A
41,1000890001,99,NASSAU STREET,100000,88,A
42,1000920024,116,NASSAU STREET,109173,94,A
43,1000927501,33,BEEKMAN STREET,167396,95,A
44,1000930034,57,BEEKMAN STREET,79079,100,A
45,1001070028,254,FRONT STREET,31715,85,A
46,1001440040,56,HUDSON STREET,802000,100,A
47,1001480010,71,THOMAS STREET,100750,87,A
48,1001480015,40,WORTH STREET,702815,92,A
49,1001500031,299,BROADWAY,253033,91,A
50,1001507504,108,DUANE STREET,34012,100,A
51,1001627501,7,CHATHAM SQUARE,47122,86,A
52,1001707501,108,LEONARD STREET,414363,100,A
53,1001717501,356,BROADWAY,41955,100,A
54,1001717503,101,LEONARD STREET,141014,98,A
55,1001750029,373,BROADWAY,45006,96,A
56,1001750033,365,BROADWAY,63600,90,A
57,1001790056,100,HUDSON STREET,73954,88,A
58,1001890030,20,NORTH MOORE STREET,60600,88,A
59,1001920001,16,WALKER STREET,1092665,100,A
60,1001950002,384,BROADWAY,43300,93,A
61,1001950030,80,WHITE STREET,38890,92,A
62,1002027501,50,BAYARD STREET,235963,100,A
63,1002040001,94,MOTT STREET,42000,95,A
64,1002070017,118,BAXTER STREET,40500,91,A
65,1002090034,273,CANAL STREET,29956,85,A
66,1002097501,42426,BROADWAY,26000,87,A
67,1002127501,260,WEST BROADWAY,142000,98,A
68,1002127504,50,VARICK STREET,278746,87,A
69,1002140001,53,BEACH STREET,30000,88,A
70,1002177501,79,LAIGHT STREET,100984,90,A
71,1002177503,250,WEST STREET,313991,86,A
72,1002180002,74,LAIGHT STREET,28016,99,A
73,1002180024,260,WEST STREET,61250,100,A
74,1002187501,92,LAIGHT STREET,194486,95,A
75,1002200031,174,HUDSON STREET,51750,89,A
76,1002210035,12,VESTRY STREET,45136,88,A
77,1002230013,440,WASHINGTON STREET,51979,88,A
78,1002240001,450,WASHINGTON STREET,305542,95,A
79,1002260001,431,CANAL STREET,1000746,86,A
80,1002300009,329,CANAL STREET,33374,85,A
81,1002300042,5,MERCER STREET,25460,91,A
82,1002310014,433,BROADWAY,46217,90,A
83,1002310036,449,BROADWAY,29000,93,A
84,1002330004,13,CROSBY STREET,38000,92,A
85,1002340017,211,CENTRE STREET,46700,92,A
86,1002350001,202,CENTRE STREET,39000,99,A
87,1002460001,275,SOUTH STREET,262875,87,A
88,1002670037,371,MADISON STREET,101579,89,A
89,1002767503,31,MONROE STREET,57151,97,A
90,1002820031,91,EAST BROADWAY,38961,100,A
91,1002847501,155,HENRY STREET,25974,86,A
92,1002847504,183,EAST BROADWAY,34618,88,A
93,1003080016,59,ORCHARD STREET,34465,98,A
94,1003107503,55,HESTER STREET,27576,89,A
95,1003310001,504,GRAND STREET,216200,100,A
96,1003420065,142,BROOME STREET,36694,100,A
97,1003437501,78,RIDGE STREET,56354,87,A
98,1003440013,195,STANTON STREET,47910,96,A
99,1003457502,196,STANTON STREET,68396,93,A
100,1003460095,384,GRAND STREET,26377,87,A
101,1003500026,19,CLINTON STREET,36000,90,A
102,1003507501,20,CLINTON STREET,38670,100,A
103,1003507503,287,EAST HOUSTON STREET,35966,85,A
104,1003530052,108,NORFOLK STREET,35000,85,A
105,1003530057,131,RIVINGTON STREET,25650,89,A
106,1003550054,255,EAST HOUSTON STREET,92697,94,A
107,1003720031,316,EAST 3 STREET,27496,95,A
108,1003730051,299,EAST 3 STREET,41244,95,A
109,1003767501,79,AVENUE D,121049,86,A
110,1003770030,394,EAST 8 STREET,28906,85,A
111,1003787501,399,EAST 8 STREET,25615,94,A
112,1003900011,308,EAST 8 STREET,97000,96,A
113,1003927501,143,AVENUE B,89531,92,A
114,1003930025,636,EAST 11 STREET,27362,99,A
115,1003947507,183,AVENUE B,49728,97,A
116,1003960010,604,EAST 14 STREET,423836,99,A
117,1003970029,195,EAST 2 STREET,33336,100,A
118,1003980008,160,EAST 3 STREET,55947,93,A
119,1003987501,182,EAST 2 STREET,35664,89,A
120,1003990044,185,EAST 3 STREET,35550,92,A
121,1004020011,140,EAST 7 STREET,41600,91,A
122,1004020015,144,EAST 7 STREET,36705,91,A
123,1004050017,518,EAST 12 STREET,31500,85,A
124,1004060048,531,EAST 12 STREET,29960,87,A
125,1004250023,11,RIVINGTON STREET,26283,90,A
126,1004260029,195,CHRYSTIE STREET,81900,94,A
127,1004410020,426,EAST 14 STREET,31875,100,A
128,1004510006,156,2 AVENUE,39395,87,A
129,1004530011,304,EAST 12 STREET,101800,96,A
130,1004570009,1,EAST 2 STREET,156365,95,A
131,1004570029,31,2 AVENUE,26832,87,A
132,1004600056,59,EAST 4 STREET,32000,90,A
133,1004670022,226,EAST 12 STREET,56845,93,A
134,1004670025,232,EAST 12 STREET,65602,87,A
135,1004680046,229,EAST 12 STREET,27215,87,A
136,1004697502,111,3 AVENUE,125097,100,A
137,1004710025,176,GRAND STREET,39558,95,A
138,1004740029,487,BROADWAY,70759,89,A
139,1004757509,43,WOOSTER STREET,30000,90,A
